Node Name,Op Type,Activation,Weights,Bias
/model.23/cv3/conv/Conv,Conv,UINT8,INT8,INT8
/model.24/m.2/Conv,Conv,UINT8,INT8,INT8
/model.24/Shape_6,Shape,UINT8,,
/model.24/Reshape_2,Reshape,UINT8,,
/model.24/Transpose_2,Transpose,UINT8,,

Op Type,Activation,Weights,Bias
Conv,UINT8(60),INT8(60),INT8(60)
Add,UINT8(7),,
Concat,UINT8(13),,
MaxPool,UINT8(3),,
Resize,UINT8(2),,
Shape,UINT8(3),,
Reshape,UINT8(3),,
Transpose,UINT8(3),,
